,Pos,Club,Pts,xPts,MP,W,D,L,G,GA,GD,xG,xGA,xGD,PPDA
0,1,Manchester City,98,89.85,38,32,2,4,95,23,72,91.8,25.79,66.01,10.04
1,2,Liverpool,97,81.57,38,30,7,1,89,22,67,78.31,29.73,48.58,11.68
2,3,Chelsea,72,73.55,38,21,9,8,63,39,24,65.37,36.2,29.17,11.12
3,4,Tottenham Hotspur,71,58.3,38,23,2,13,67,39,28,57.37,49.77,7.6,11.01
4,5,Arsenal,70,59.76,38,21,7,10,73,51,22,63.25,54.65,8.6,10.88
5,6,Manchester United,66,62.29,38,19,9,10,65,54,11,67.77,51.75,16.02,11.85
6,7,Wolverhampton Wanderers,57,58.31,38,16,9,13,47,46,1,52.85,43.72,9.12,14.55
7,8,Everton,54,55.51,38,15,9,14,54,46,8,53.51,48.8,4.71,11.1
8,9,Leicester City,52,56.98,38,15,7,16,51,48,3,53.28,44.23,9.05,12.86
9,10,West Ham United,52,43.15,38,15,7,16,52,55,-3,47.07,65.99,-18.92,12.91
10,11,Watford,50,48.54,38,14,8,16,52,59,-7,51.42,60.83,-9.41,12.8
11,12,Crystal Palace,49,51.8,38,14,7,17,51,53,-2,50.23,52.21,-1.98,14.97
12,13,Newcastle United,45,39.98,38,12,9,17,42,48,-6,40.29,55.73,-15.44,14.89
13,14,Bournemouth,45,50.19,38,13,6,19,56,70,-14,55.82,62.07,-6.25,16.71
14,15,Burnley,40,40.89,38,11,7,20,45,68,-23,43.41,66.32,-22.91,14.74
15,16,Southampton,39,45.35,38,9,12,17,45,65,-20,50.15,57.84,-7.69,12.03
16,17,Brighton and Hove Albion,36,35.64,38,9,9,20,35,60,-25,36.2,61.94,-25.74,15.3
17,18,Cardiff City,34,36.87,38,10,4,24,34,69,-35,42.19,65.89,-23.7,15.74
18,19,Fulham,26,33.74,38,7,5,26,34,81,-47,41.58,73.95,-32.37,14.63
19,20,Huddersfield Town,16,31.02,38,3,7,28,22,76,-54,29.46,63.9,-34.44,12.06
